10,абрикосовое варенье,г
11,абрикосовое пюре,г
12,абрикосовый джем,г
13,абрикосовый сок,мл
14,абрикосы,г
15,абрикосы консервированные,г
16,авокадо,г
17,агава сироп,мл
18,агар-агар,г
19,аграм,г
20,аджика,г
21,аджика зеленая,г
22,айва,г
23,айвовое пюре,г
24,айран,г
25,айсинг,г
26,акула стейки,г
27,алкоголь,мл
28,алкоголь крепкий,мл
29,алыча,г
30,альбухара,шт.
31,альмехи,г
32,амарантовая мука,г
33,ананасовый сироп,мл
34,ананасовый сок,мл
35,ананасы,г
36,ананасы вяленые,г
37,ананасы консервированные,г
38,анис,г
39,анис звездочки,г
40,анисовый ликер,мл
41,анис семена,г
42,анчоусы,г
43,апельсиновая вода,мл
44,апельсиновая цедра,г
45,апельсиновая эссенция,ч. л.
46,апельсиновое варенье,г
47,апельсиновые цукаты,г
48,апельсиновый джем,г
49,апельсиновый джем с имбирем,г
50,апельсиновый ликер,мл
51,апельсиновый сироп,мл
52,апельсиновый сок,мл
53,апельсиновый сок свежевыжатый,мл
54,апельсиновый уксус,мл
55,апельсиновый экстракт,ч. л.
56,апельсины,г
57,апельсины красные,шт.
58,апельсины крупные,шт.
59,арахис,г
60,арахис жареный,г
61,арахисовая паста,г
62,арахисовое масло,г
63,арахис соленый,г
64,арбузная мякоть,г
65,арбузы,г
66,аргановое масло,г
67,аришта,г
68,ароматизатор,г
69,"ароматизатор ""ананас""",капля
70,"ароматизатор ""вишня""",капля
71,"ароматизатор ""малина""",капля
72,"ароматизатор ""ром""",капля
73,артишоки,г
74,артишоки в масле,г
75,артишоки маринованные,г
76,аспирин,шт.
77,ассорти мясное,г
78,ассорти овощное,г
79,ассорти фруктовое,г
80,ассорти ягодное,г
81,аши,г
82,багет,г
83,багет вчерашний,г
84,багет мини,г
85,бадан,г
86,бадьян,г
87,базилик лимонный,г
88,базилик свежий,г
89,базилик сушеный,г
90,базилик тайский,г
91,базилик фиолетовый,г
92,баклажаны,г
93,баклажаны мини,г
94,баклажаны тайские,г
95,балык,г
96,бальзам,г
97,бальзамический крем,г
98,бальзамический соус,мл
99,бальзамический уксус,мл
100,бальзам рижский черный,мл
101,бамия,г
102,банановое пюре,г
103,банановые чипсы,г
104,банановый зеленый сироп,мл
105,банановый ликер,мл
106,бананы,г
107,бананы мини,г
108,барабулька,г
109,бараний ливер,г
110,бараний окорок на косточке,г
111,бараний фарш,г
112,баранина,г
113,баранки,г
114,бараньи антрекоты,г
115,бараньи голяшки,шт.
116,бараньи потроха,г
117,бараньи ребрышки,шт.
118,баранья лопатка,г
119,баранья нога,г
120,баранья печень,г
121,барбарис,г
122,барбарис вяленый,ст. л.
123,барбарис молотый,г
124,бастурма,г
125,батат,г
126,батон,г
127,батончики шоколадные,г
128,безе,г
129,бекон,г
130,бекон варено-копченый,г
131,бекон сырокопченый,г
132,белорыбица,г
133,бирнель,мл
134,бисквик смесь готовая,г
135,бисквит,г
136,бисквитная крошка,г
137,бисквитный корж,г
138,бисквитный рулет,г
139,бисквит шоколадный,г
140,бифштекс,шт.
141,блинная мука,г
142,блины готовые,г
143,блины овсяные,шт.
144,бобовые ростки,г
145,бобы,г
146,бобы мунг пророщенные,г
